RE41M09_R,RE41M05_R,RE41M07_R,RE41M10_R,RE41M13_R,RE41M15_R,RE41M02_R,RE41M11_R,RE41M14_R
4,23,11,50,7,18,50,37,108
4,2,2,6,4,1,2,2,7
38,103,128,45,35,28,36,39,33
156,97,33,21,0,8,122,211,0
22,22,30,67,6,44,30,211,6
43,6,70,46,19,63,37,25,115
10,23,17,1,19,11,12,15,31
61,85,16,2,1,29,88,0,38
11,43,9,55,8,1,28,6,55
71,64,99,79,49,16,26,16,143
39,17,54,60,1,19,35,83,218
25,57,28,93,9,22,29,61,114
23,63,35,29,67,26,54,30,380
7,14,8,27,8,12,35,9,60
10,22,14,32,6,8,21,18,149
35,48,42,164,12,19,174,30,611
97,18,100,61,19,20,48,46,99
128,30,64,110,20,31,31,110,131
1,226,94,3,0,0,139,0,0
74,1,14,63,2,18,21,34,344
98,64,44,77,44,21,150,33,81
40,26,13,122,59,76,2,28,461
113,38,91,96,8,33,58,27,117
32,31,34,146,8,60,51,7,149
25,248,11,41,20,29,29,37,53
157,130,13,61,8,24,37,128,171
66,64,79,63,31,15,31,95,37
33,7,19,5,19,23,31,28,3
4,55,17,41,14,14,13,11,175
88,108,53,120,11,36,79,80,258
63,70,96,65,24,3,21,32,188
19,9,16,84,12,80,16,102,248
31,14,15,22,0,0,22,27,2
68,43,30,118,22,50,89,24,521
39,46,70,141,18,363,95,190,287
14,39,36,180,28,52,25,34,255
26,26,23,152,14,49,140,40,170
16,14,34,119,22,29,31,12,58
34,10,26,63,17,15,16,32,1
17,53,43,95,18,30,31,49,67
5,24,6,81,12,5,11,5,153
29,42,21,83,21,19,36,33,99
52,35,71,100,30,50,370,40,118
20,9,49,139,9,5,60,33,22
13,14,9,38,8,10,9,15,45
54,46,19,152,7,20,15,20,51
16,10,33,113,44,35,22,12,304
15,10,0,85,12,39,75,19,22
53,67,74,311,11,70,174,42,240
84,5,20,48,35,46,31,14,210
187,22,109,96,27,29,103,165,128
81,161,30,64,83,38,286,16,38
34,8,8,44,6,26,15,14,141
32,57,41,377,19,7,45,18,291
272,59,264,172,48,18,45,190,181
107,17,58,110,34,57,93,11,192
24,1,190,0,6,23,60,0,4
20,15,11,66,31,16,29,19,53
13,44,60,199,11,32,41,8,907
39,82,96,257,38,80,18,34,53
18,19,50,64,45,90,4,22,228
182,88,29,100,9,44,0,43,1
3,32,109,0,0,0,31,0,0
16,81,31,177,18,52,46,83,57
33,4,62,36,8,6,149,72,511
90,290,176,82,84,0,179,40,4
20,9,17,66,18,21,19,1,224
23,43,105,41,10,1,21,29,176
154,86,52,57,34,45,35,12,156
25,0,113,255,5,6,46,17,3
11,85,33,97,7,26,111,56,164
23,26,20,72,13,50,21,17,246
28,9,13,73,7,19,41,149,120
17,23,16,78,7,22,23,14,73
16,42,42,12,42,15,78,42,20
